state,x,y
Kano,-6.0,123.0
Lagos,-216.0,-115.0
Ogun,-238.0,-89.0
Oyo,-220.0,-38.0
Osun,-188.0,-69.0
Kwara,-175.0,-22.0
Niger,-108.0,29.0
Kebbi,-195.0,107.0
Sokoto,-165.0,185.0
Katsina,-52.0,153.0
Jigawa,40.0,145.0
Bauchi,-26.0,58.0
Kaduna,50.0,60.0
Fct,-74.0,-9.0
Ondo,-143.0,-82.0
Edo,-115.0,-107.0
Delta,-115.0,-154.0
Akwa,-31.0,-186.0
Imo,-77.0,-150.0
Abia,-44.0,-155.0
Cross River,1.0,-155.0
Enugu,-49.0,-127.0
Anambra,-71.0,-127.0
Kogi,-75.0,-62.0
Benue,7.0,-82.0
Plateau,32.0,-4.0
Taraba,92.0,-51.0
Adamawa,150.0,15.0
Borno,192.0,119.0
Yobe,131.0,134.0
Ebonyi,-35.0,-122.0
Ekiti,-157.0,-61.0
Zamfara,-128.0,130.0
Bayelsa,-132.0,-191.0
Rivers,-69.0,-191.0
Nasarawa,-47.0,-22.0
Gombe,97.0,58.0